#,Item,Poste, Tax year/Année d'imposition             , Total (Number / Nombre) ,Total (Thousands of Dollars / Milliers de dollars),4999 and under/Moins de 4 999 (Number / Nombre),4999 and under/Moins de 4999 (Thousands /Milliers de dollars),5000 - 9999 (Number / Nombre),5000 - 9999 (Thousands of Dollars / Milliers de dollars),10000 - 14999 (Number / Nombre),10000 - 14999 (Thousands of Dollars / Milliers de dollars),15000 - 19999 (Number / Nombre),15000 - 19999 (Thousands of Dollars / Milliers de dollars),20000 - 24999 (Number / Nombre),20000 - 24999 (Thousands of Dollars / Milliers de dollars),25000 - 29999 (Number / Nombre),25000 - 29999 (Thousands of Dollars / Milliers de dollars),30000 - 34999 (Number / Nombre),30000 - 34999 (Thousands of Dollars / Milliers de dollars),35000 - 39999 (Number / Nombre),35000 - 39999 (Thousands of Dollars / Milliers de dollars),40000 - 44999 (Number / Nombre),40000 - 44999 (Thousands of Dollars / Milliers de dollars),45000 - 49999 (Number / Nombre),45000 - 49999 (Thousands of Dollars / Milliers de dollars),50000 - 54999 (Number / Nombre),50000 - 54999 (Thousands of Dollars / Milliers de dollars),55000 - 59999 (Number / Nombre),55000 - 59999 (Thousands of Dollars / Milliers de dollars),60000 - 69999 (Number / Nombre),60000 - 69999 (Thousands of Dollars / Milliers de dollars),70000 - 79999 (Number / Nombre),70000 - 79999 (Thousands of Dollars / Milliers de dollars),80000 - 89999 (Number / Nombre),80000 - 89999 (Thousands of Dollars / Milliers de dollars),90000 - 99999 (Number / Nombre),90000 - 99999 (Thousands of Dollars / Milliers de dollars),100000 - 149999 (Number / Nombre),100000 - 149999 (Thousands of Dollars / Milliers de dollars),150000 - 249999 (Number / Nombre),150000 - 249999 (Thousands of Dollars / Milliers de dollars),250000 and over/250000 et plus (Number / Nombre),250000 and over/250000 et plus (Thousands/Milliers de dollars)
51,Other payments deduction,Déductions pour autres paiements,2023, 4666670,41404415,106170,280305,245920,1623398,473620,4138420,783500,7927541,1156510,11785722,724960,5079393,319620,2248738,175900,1389715,129630,1056951,100970,837620,80780,705993,65010,596231,92190,961416,61280,670578,42050,476336,29100,340928,60070,784936,15960,371676,3430,128520
52,Non-capital losses of other years,Pertes autres que des pertes en capital d'autres années,2023, 39160,513592,2270,2338,510,1779,650,2280,2480,4819,3400,10258,3430,14642,3330,15597,3040,16532,2730,17310,2260,15932,1990,15660,1620,15126,2570,23910,1890,20541,1410,17837,1020,14566,2410,44042,1250,38330,910,222091
53,Net capital losses of other years,Pertes en capital nettes d'autres années,2023, 538560,2125945,2260,2378,2320,4484,2780,5039,5330,7960,8600,11960,12420,15687,15250,21739,16660,23769,18860,27903,19840,28761,21850,31807,21500,34368,39720,71783,37400,73086,36980,77524,31290,69982,101600,293140,77800,354325,66120,970250
54,Capital gains deduction,Déduction pour gains en capital,2023, 60500,9296915,50,1413,40,295,30,287,190,788,440,1928,370,2428,540,4257,620,6460,800,10449,820,11758,920,16001,990,18586,2140,49472,2410,68942,2900,102175,2240,84773,8610,442486,10680,956252,25710,7518164
55,Northern residents deductions,Déductions pour les habitants de régions éloignées,2023, 267540,1222952,2960,1506,3090,4522,4230,9354,6700,18539,9590,31192,10830,37577,10660,38998,10890,41618,11120,44378,10870,44689,10800,44525,10650,44796,19830,88266,18090,83630,16740,81366,15220,75877,54050,293338,32250,190854,8980,47926
56,Additional deductions,Déductions supplémentaires,2023, 181590,1626569,6370,44120,6560,41386,6850,59794,8790,48869,15240,90999,19480,84954,15890,93219,12240,77536,10840,62040,9330,55734,8340,52277,7090,44945,10570,70035,7930,57559,6850,49524,4910,42316,12410,140310,7440,191945,4480,319007
57,Farming/fishing losses of prior years,Pertes provenant de la pęche et pertes agricoles d'autres années,2023, 10890,140982,0,0,0,0,30,147,340,645,540,1943,650,3097,660,3667,670,4531,660,4915,590,5024,520,5291,490,4270,840,8405,720,8414,620,8576,500,5935,1430,21229,900,18999,690,35469
58,Total deductions from net income,Total des déductions du revenu net,2023, 5675030,59289981,119300,333180,256790,1676877,485130,4216768,800030,8013538,1177780,11936109,751030,5240086,351370,2428361,211880,1562345,168880,1225845,140300,1001882,121770,874308,104420,763444,163800,1284532,127480,1011033,106920,863011,84190,679686,240100,2129223,148740,2241932,115130,11807821
59,Taxable income assessed,Revenu imposable établi,2023, 28763870,1682295517,1172360,2559534,1132930,7929009,1389380,15499257,1693100,24480992,2177530,37954320,1816860,43773251,1525890,45637120,1438120,50198085,1451280,57589251,1405490,62112938,1389400,67844889,1211070,63973985,2075650,122505142,1690060,114209690,1422450,108757312,1143620,96873571,2858180,302367468,1224580,199696895,545920,258332808
60,Basic personal amount,Montant personnel de base,2023, 30940060,461086326,2653610,38761527,1292900,19130437,1608320,23963900,1899660,28388504,2247190,33632839,1837330,27507303,1535130,22990317,1442860,21614494,1454200,21791222,1407300,21092095,1390670,20844695,1211800,18164697,2076720,31131203,1690270,25339162,1422390,21324526,1143510,17143473,2857530,42837910,1223910,18029151,544770,7398872
61,Age amount,Montant en raison de l'âge,2023, 7086200,51924507,142690,1175587,101470,842130,239660,2006361,564430,4735239,1165130,9780263,859680,7216435,543220,4559948,447730,3758366,447200,3724359,395220,3099805,399890,2875594,299680,2012846,473180,2778826,354360,1639637,298700,937130,190970,410475,149710,316691,9320,35270,3980,19546
62,Spouse or common-law partner amount,Montant pour époux ou conjoint de fait,2023, 2291470,24023386,148970,1950195,81140,954283,111370,1205632,135610,1303412,163640,1487957,153970,1447482,136390,1316083,118180,1162365,106680,1079333,97750,999796,89480,925372,80960,844414,139890,1466224,116050,1221985,99220,1059368,85550,924764,242190,2666356,125460,1391093,58980,617271
63,Canada caregiver amount,Montant canadien pour aidants naturels,2023, 334440,2059641,5440,35206,3070,19689,6170,35504,16600,93794,21060,119719,19010,107381,18370,101735,18720,105814,19690,114225,19500,114508,18830,114328,16760,105149,27920,176235,22470,142448,18380,118280,15210,99511,40680,271311,18770,129443,7800,55361
64,Amount for an eligible dependant,Montant pour une personne ŕ charge admissible,2023, 1004860,14320186,83830,1227991,41530,603848,70480,1031968,63860,933290,61880,897130,51300,738218,50090,719686,50550,723310,51390,733069,51040,725988,48220,682084,43080,607661,72310,1019089,56100,787517,45570,636058,37620,524412,87800,1220205,28840,392248,9380,116413
65,Family caregiver amount for children under 18 years of age,Montant pour les enfants de moins de 18 ans,2023, 169990,475583,9950,29142,3930,11442,7050,20125,6770,19503,6790,19491,5900,16977,5910,16677,6310,17594,6680,18638,7200,19950,7250,20089,7130,19652,13280,36895,11720,32465,10410,28858,9580,26680,26980,74336,12320,33938,4840,13131
66,CPP or QPP contributions through employment,Cotisations d'employé au RPC ou au RRQ,2023, 18101720,38556249,434520,120852,555920,144144,683070,288075,744640,446817,771710,616590,799430,809340,865080,1077936,906000,1346924,937510,1623916,950680,1881661,936310,2075521,872280,2146641,1550710,4322157,1302420,3878495,1097410,3329403,929230,2848416,2393970,7387211,986240,3039989,384580,1172161
67,CPP or QPP contributions on self-employment and other earnings,Cotisations au RPC ou au RRQ pour le revenu d’un travail indépendant et pour d’autres revenus,2023, 1945360,1782724,37200,3250,160100,29901,199690,71906,189130,95569,167390,104268,147380,105459,125410,98046,109520,93172,99140,90391,90550,86586,84100,84574,76260,81891,122010,146612,72010,114442,49150,89545,36120,70777,90050,193295,52540,125696,37630,97344
68,Employment insurance premiums,Cotisations d'employé ŕ l'assurance-emploi,2023, 17627090,11601632,461430,78235,657730,73991,716750,122717,731580,168242,742240,215706,775500,274589,836020,354243,880040,435094,914430,516424,926650,590963,911550,645567,854030,667242,1508840,1293708,1265660,1125526,1065040,961662,900210,823884,2285500,2134165,888190,836119,305720,283553
69,PPIP premiums paid,Cotisations au RPAP,2023, 4222110,1038761,94600,4614,152670,5302,164860,8769,163250,11670,164970,14757,176440,19091,197490,25716,217110,33329,242480,43082,249710,50429,247940,55460,230890,57208,398660,112679,324790,106724,274290,103268,221580,91320,469520,198326,165500,70203,65350,26814
70,PPIP premiums payable on employment income,Cotisations au RPAP ŕ payer sur le revenu d'emploi,2023, 139740,35213,1600,52,3160,88,4140,166,4500,233,4700,306,4580,359,4790,464,4650,517,4670,622,4890,750,5200,897,5200,1010,11260,2582,12330,3405,11700,3705,9770,3451,27700,10638,11430,4590,3460,1380
71,PPIP premiums payable on self-employment income,Cotisations au RPAP ŕ payer sur le revenu d'un travail indépendant,2023, 476870,49321,12200,247,27810,847,43830,2097,43540,2656,39330,2745,35250,2691,29740,2495,26250,2387,24180,2267,21830,2098,20290,1940,18050,1787,30150,3191,24320,2831,19830,2627,13310,2170,23140,5851,13010,4341,10800,4053
72,Volunteer firefighters' amount/search and rescue volunteers' amount,Montant pour les pompiers volontaires et montant pour les volontaires en recherche et sauvetage,2023, 50390,151173,780,2340,470,1395,670,1998,860,2572,1180,3537,1290,3879,1540,4626,1860,5592,1980,5943,2260,6777,2570,7722,2640,7920,5240,15722,5000,15006,4290,12864,3710,11115,9890,29673,3560,10668,610,1824
73,Canada employment amount,Montant canadien pour emploi,2023, 19946180,26391480,665890,764578,736180,978439,808460,1075067,831590,1104744,844470,1121592,875750,1157122,943110,1245507,986230,1299726,1027830,1346848,1040420,1362967,1026340,1344955,944380,1246979,1668070,2212801,1393480,1857549,1174950,1569153,984760,1322007,2518430,3391975,1049300,1415199,426550,574273
74,Home accessibility expenses,Dépenses pour l’accessibilité domiciliaire,2023, 37410,229297,210,1356,160,887,330,1919,750,3704,1730,8057,2130,9525,2140,10315,2130,10690,2420,12419,2340,13237,2350,13333,2150,12283,3690,21949,3080,19851,2580,17430,1900,12668,4430,33224,1920,16436,990,10015
75,Home buyers' amount,Montant pour l'achat d'une habitation,2023, 197790,1624962,1580,13286,920,7728,1310,11249,2020,16105,3040,23414,3930,30502,5190,40604,6660,51759,8420,65676,10000,78632,10950,86030,11770,92943,23600,188080,21580,174705,19070,156458,15120,126829,36660,315623,12550,113265,3450,32074
76,Digital news subscription expenses,Dépenses pour abonnement aux nouvelles numériques,2023, 454640,117751,6890,2259,3440,1042,4440,1325,5970,1705,8720,2337,11450,2920,12500,3148,13780,3396,16540,4013,18120,4447,21890,5237,19410,4666,37700,9074,35370,8631,34640,8548,28970,7198,85180,21680,52950,14706,36690,11419
77,Pension income amount,Montant pour revenu de pension,2023, 5938310,11411496,22960,32206,38100,64705,75510,121406,182600,300975,375850,635355,577800,1068341,475280,926095,422490,829963,438690,865840,400530,790803,422330,835527,316420,625113,501340,990286,381250,752790,320250,632483,213800,421698,461360,908023,203860,399533,107900,210356
78,Disability amount ,Montant pour personnes handicapées,2023, 1109740,10475073,52970,514274,36360,348499,92260,872347,122230,1150158,123950,1165845,95600,898263,80680,758979,68330,643494,62880,592677,54800,516576,50260,473835,38650,364377,59300,559020,43410,409177,33590,316705,22380,210997,46120,434801,17430,164380,8550,80668
79,Disability amount transferred from a dependant,Montant pour personnes handicapées transféré d'une personne ŕ charge,2023, 372760,4886018,15720,233021,6080,85614,10480,149762,10930,149797,12990,168944,12580,157776,13290,162908,14980,182726,16400,200848,17580,217160,18390,229206,17550,221705,32380,418205,28070,367326,24360,322299,21460,289412,60810,819535,27650,368817,11080,140958
80,Interest paid on student loans,Intéręts payés sur des pręts étudiants,2023, 329650,169164,1330,1233,600,283,840,529,2990,1115,7660,3394,11010,4673,14330,5896,17940,7347,21560,9214,24010,10492,24760,11246,24050,11353,44530,22359,36770,19799,28280,15779,20230,11355,36980,23265,9150,7243,2660,2589
81,"Tuition, education, and textbook amounts ","Frais de scolarité, montant relatif aux études et montant pour manuels",2023, 2105580,14069451,700,856,930,2270,1370,4147,161910,189209,273880,986122,237330,1432099,208750,1616049,180180,1554845,151170,1374037,127770,1155971,108550,953705,91890,778062,145870,1164002,107280,844889,79310,589089,58990,371949,122360,717905,36190,253874,11140,80368
82,"Tuition, education, and textbook amounts transferred from a child","Frais de scolarité, montant relatif aux études et montant pour manuels transférés d'un enfant",2023, 497080,2052571,460,1755,250,843,360,1215,1370,3068,3320,11222,5170,19022,7680,29299,10440,39258,13010,49323,15610,59749,17240,65456,18000,68463,36400,139890,35510,137037,35050,133611,36350,139301,128390,534549,80920,362860,51580,256649
83,Amounts transferred from spouse or common-law partner,Montants transférés d'un époux ou conjoint de fait,2023, 1461470,9903319,75650,581477,34790,256638,76340,509922,238550,1752504,205200,1453857,147460,1023995,110190,741190,89750,588521,75390,473916,61890,380943,48570,306356,38650,248956,57260,369840,41900,265515,32650,201754,25270,153582,62560,369529,27550,157792,11880,67032
84,Medical expenses,Montant admissible des frais médicaux,2023, 5746130,18655370,174430,225422,110840,168541,160900,325285,237010,478898,386810,932359,480490,1291532,462060,1301985,439770,1273280,448030,1381052,406770,1253911,402690,1334358,305650,1005030,459040,1577000,315170,1152327,234090,932144,158570,649709,320460,1500609,151150,941638,92210,930291
85,Total tax credits on personal amounts,Crédits d'impôt nets alloués,2023, 30952420,106066624,2655100,6864255,1294220,3560016,1609600,4775120,1900710,6203159,2248040,8011426,1837980,6801952,1535680,5716631,1443290,5367717,1454580,5418000,1407620,5177558,1390940,5099072,1212050,4409840,2077120,7526867,1690560,6063037,1422640,5025578,1143740,4004718,2858360,9962919,1224570,4247979,545620,1830781
86,Allowable charitable donations and government gifts,Dons de bienfaisance et dons aux gouvernements admissibles,2023, 5131640,13478502,5900,1714,7910,3216,12780,6265,41790,19021,96200,58625,154870,106148,197540,169244,220130,218131,250850,273112,262540,310524,276760,345490,257620,335883,477750,662446,425400,638853,384780,631852,326600,545325,946160,1815262,496110,1487484,289960,5849907
87,Eligible cultural and ecological gifts,Montants admissibles des dons de biens culturels ou écosensibles,2023, 6910,74816,90,147,70,41,80,33,170,274,320,206,440,1083,420,369,370,462,410,736,380,416,390,594,360,565,630,1290,480,1214,410,1581,340,1465,900,4876,380,6671,240,52794
88,Total tax credit on donations and gifts,Total des crédits d'impôt pour les dons,2023, 5095190,4032192,5660,454,7570,827,12320,1625,40470,4898,93810,15342,152250,28016,194920,45019,217470,58683,248320,73997,260070,84479,274550,94329,255510,91965,474030,182075,422390,176295,382760,175170,325090,151340,942990,506315,495280,421660,289730,1919702
89,Total federal non-refundable tax credits,Total des crédits d'impôt non remboursables fédéraux,2023, 30952970,110098816,2655180,6864708,1294240,3560843,1609610,4776745,1900730,6208058,2248060,8026767,1838000,6829968,1535700,5761650,1443300,5426400,1454590,5491997,1407620,5262037,1390950,5193400,1212070,4501805,2077130,7708942,1690580,6239331,1422650,5200748,1143740,4156058,2858410,10469234,1224660,4669640,545750,3750483
90,Federal dividend tax credit,Crédit d'impôt fédéral pour dividendes,2023, 4099810,12285437,10830,19,6160,25,8940,54,37080,3862,60630,15858,103770,34476,140400,63075,153760,77030,176520,105552,191340,138837,211570,157508,195500,179145,352920,344895,317270,351937,304370,413667,251990,375266,757760,1498575,489100,1981282,329900,6544371
91,Minimum tax carryover,Report d'impôt minimum,2023, 76240,290946,0,0,0,0,0,0,630,153,1150,634,1900,1454,2510,2642,2790,3711,3100,5313,3360,7108,3620,9358,3350,9790,6590,22849,5850,21951,5800,21927,4680,17721,13160,51142,10690,50897,7060,64288
92,Basic federal tax ,Impôt fédéral de base,2023, 19911350,209387786,7320,5774,11290,7097,14860,12007,257590,64851,565360,334830,830420,757280,1051110,1431965,1189780,2224275,1303620,3157996,1314820,3981922,1331590,4869091,1173720,5051231,2034260,11105791,1668590,11897636,1410220,12497905,1137070,11950425,2846700,42429002,1219720,34782051,543330,62826657
93,Federal foreign tax credit,Crédit fédéral pour impôt étranger,2023, 2125670,2227807,260,70,320,99,410,195,7360,627,17610,1546,35950,2872,57720,4755,69700,6645,83500,8911,92190,11335,104670,14068,97490,16090,180080,36876,165610,42778,160050,50320,135600,53466,414100,269074,287480,428738,215580,1279342
94,Federal political contribution tax credit,Crédit d'impôt pour contributions politiques fédérales,2023, 146960,30239,0,0,0,0,0,0,0,0,740,92,2010,236,3360,455,4320,622,5530,807,6290,983,7530,1247,6750,1104,13490,2324,12630,2302,12620,2463,10050,1970,28880,6117,18260,4646,14170,4841
95,Investment tax credit,Crédit d'impôt ŕ l'investissement,2023, 18060,210930,0,0,0,0,0,0,180,23,330,76,300,144,430,236,370,255,390,349,500,427,460,430,440,569,780,1106,750,1046,700,1134,0,0,2470,4748,2610,7993,6750,191419
96,Labour-sponsored funds tax credit (provincially registered),Crédit d'impôt relatif ŕ un fonds de travailleurs (agréé selon la législation d'une province),2023, 408880,191830,0,0,0,0,10,1,350,31,1640,250,3230,650,5610,1343,9450,2568,15170,4530,20790,6826,23820,8651,26310,10397,51980,22896,47870,22606,45610,22748,39920,20626,84820,47822,26530,16275,5760,3609
97,Alternative minimum tax payable,Impôt minimum de remplacement ŕ payer,2023, 66710,470259,240,1409,80,292,80,296,100,261,140,571,160,492,180,515,230,602,250,621,310,863,400,908,430,915,920,1736,1650,2403,2850,3412,3440,4307,19290,33160,18080,61509,17900,355988
98,Net federal tax,Impôt fédéral net,2023, 20663760,207855024,73150,39879,127090,84502,197150,155220,416290,228865,656030,502899,903520,906406,1105220,1533492,1210550,2265420,1312840,3171943,1317100,3973482,1330680,4849310,1172190,5026289,2031600,11047274,1666510,11832953,1408580,12425248,1135820,11877022,2842510,42119334,1215860,34348133,541070,61467354
99,CPP contributions on self-employment,Cotisations au RPC ŕ payer pour le revenu d'un travail indépendant et pour d'autres revenus,2023, 1427120,3200985,25310,5766,122580,55493,147500,126871,138370,167515,122110,183893,106990,187265,90710,173207,79020,163693,71310,159851,65490,154724,61090,153780,55790,151111,90330,272271,53990,213438,36680,164897,26990,130661,67700,355822,38810,221414,26350,159313
100,Social Benefits repayment,Remboursement des prestations de programmes  sociaux,2023, 781040,3050412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4600,1443,69950,44797,130530,147082,338530,1089080,153500,1092678,83920,675329
101,Canada workers benefit (CWB) ,Allocation canadienne pour les travailleurs (ACT),2023, 2718700,3741219,137470,141247,230670,308295,327740,606092,377890,688852,413110,710224,435520,611021,425170,371772,182040,165082,101260,82172,55160,28878,15440,10195,6110,4986,5370,5148,2220,2473,1100,1381,650,854,1180,1653,420,614,180,281
102,Canada Training Credit (CTC),Crédit canadien pour la formation,2023, 681680,245260,27280,9665,18570,6401,25890,8865,30300,10432,32550,11278,33520,11719,34990,12301,34530,12361,35060,12671,35350,12859,35030,12756,33900,12342,63450,22871,55040,19991,44850,16292,36490,13472,81240,30548,20800,7539,2850,896
103,Multigenerational home renovation tax credit (MHRTC),Crédit d'impôt pour la rénovation d'habitations multigénérationnelles (CIRHM),2023, 6040,22032,120,535,60,310,100,350,170,543,230,520,250,532,210,588,240,620,230,627,260,802,250,714,260,836,490,1457,470,1471,400,1460,350,1522,1110,4901,610,2895,250,1350
104,Eligible educator school supply tax credit,Crédit d’impôt pour fournitures scolaires d’éducateur admissible,2023, 91320,12611,600,101,460,66,570,81,680,87,870,108,1090,137,1450,178,1760,217,2220,284,3060,399,3530,462,3780,498,8520,1166,9580,1319,10310,1417,13960,1930,27660,3959,1090,182,130,21
105,Net provincial or territorial tax,Impôt provincial ou territorial net,2023, 15870670,94262190,4850,799,9650,1829,22210,4736,74790,17305,552780,129177,867900,367464,953110,631617,978700,983677,1008090,1390782,1008720,1733469,1002150,2153592,882170,2219874,1532830,4747971,1270900,4982078,1074990,5134065,875870,4899296,2288210,18277717,1011140,16201552,451590,30385190
106,Total tax payable,Total ŕ payer,2023, 22058700,308390237,95890,46481,211340,141958,295750,287127,498950,414087,911810,816438,1195090,1461633,1295620,2338865,1327300,3413432,1388250,4723246,1367230,5862403,1364330,7157445,1194480,7398185,2055710,16069366,1679650,17031754,1416530,17770854,1140670,17055762,2853060,61847771,1222110,51865957,544940,92687473
